Date,Team 1,FT,HT,Team 2
29/11/2024,Brighton,1-1,1-0,Southampton
30/11/2024,Brentford,4-1,3-1,Leicester
30/11/2024,Crystal Palace,1-1,0-0,Newcastle
30/11/2024,Nott'm Forest,1-0,0-0,Ipswich
30/11/2024,Wolves,2-4,1-3,Bournemouth
30/11/2024,West Ham,2-5,2-5,Arsenal
01/12/2024,Chelsea,3-0,2-0,Aston Villa
01/12/2024,Man United,4-0,2-0,Everton
01/12/2024,Tottenham,1-1,0-0,Fulham
01/12/2024,Liverpool,2-0,1-0,Man City
03/12/2024,Ipswich,0-1,0-0,Crystal Palace
03/12/2024,Leicester,3-1,1-0,West Ham
04/12/2024,Everton,4-0,2-0,Wolves
04/12/2024,Man City,3-0,2-0,Nott'm Forest
04/12/2024,Newcastle,3-3,1-0,Liverpool
04/12/2024,Southampton,1-5,1-3,Chelsea
04/12/2024,Arsenal,2-0,0-0,Man United
04/12/2024,Aston Villa,3-1,3-0,Brentford
05/12/2024,Fulham,3-1,1-0,Brighton
05/12/2024,Bournemouth,1-0,1-0,Tottenham
07/12/2024,Aston Villa,1-0,1-0,Southampton
07/12/2024,Brentford,4-2,2-2,Newcastle
07/12/2024,Crystal Palace,2-2,1-1,Man City
07/12/2024,Man United,2-3,1-1,Nott'm Forest
08/12/2024,Fulham,1-1,1-0,Arsenal
08/12/2024,Ipswich,1-2,1-0,Bournemouth
08/12/2024,Leicester,2-2,0-1,Brighton
08/12/2024,Tottenham,3-4,2-1,Chelsea
09/12/2024,West Ham,2-1,0-0,Wolves
14/12/2024,Arsenal,0-0,0-0,Everton
14/12/2024,Liverpool,2-2,0-1,Fulham
14/12/2024,Newcastle,4-0,1-0,Leicester
14/12/2024,Wolves,1-2,0-1,Ipswich
14/12/2024,Nott'm Forest,2-1,0-0,Aston Villa
15/12/2024,Brighton,1-3,0-2,Crystal Palace
15/12/2024,Man City,1-2,1-0,Man United
15/12/2024,Chelsea,2-1,1-0,Brentford
15/12/2024,Southampton,0-5,0-5,Tottenham
16/12/2024,Bournemouth,1-1,0-0,West Ham
21/12/2024,Aston Villa,2-1,1-0,Man City
